date,home_team,away_team,home_score,away_score,tournament,neutral
2026-06-11,Mexico,South Africa,2,0,FIFA World Cup,True
2026-06-12,United States,Paraguay,4,1,FIFA World Cup,True
2026-06-13,Haiti,Scotland,0,1,FIFA World Cup,True
2026-06-13,Brazil,Morocco,1,1,FIFA World Cup,True
2026-06-13,Qatar,Switzerland,1,1,FIFA World Cup,True
2026-06-14,Ivory Coast,Ecuador,1,0,FIFA World Cup,True
2026-06-14,Germany,Curaçao,7,1,FIFA World Cup,True
2026-06-14,Netherlands,Japan,2,2,FIFA World Cup,True
2026-06-15,Iran,New Zealand,2,2,FIFA World Cup,True
2026-06-15,Spain,Cape Verde,0,0,FIFA World Cup,True
2026-06-15,Belgium,Egypt,1,1,FIFA World Cup,True
2026-06-15,Saudi Arabia,Uruguay,1,1,FIFA World Cup,True
2026-06-16,France,Senegal,3,1,FIFA World Cup,True
2026-06-16,Argentina,Algeria,3,0,FIFA World Cup,True
2026-06-16,Austria,Jordan,3,1,FIFA World Cup,True
2026-06-17,England,Croatia,4,2,FIFA World Cup,True
2026-06-17,Uzbekistan,Colombia,1,3,FIFA World Cup,True
2026-06-17,Ghana,Panama,1,0,FIFA World Cup,True
